Model                                            , Provider    , Tags            , Input $/1M, Output $/1M, Context, Latency(s), Throughput(t/s), Tools, Structured
openai/gpt-oss-20b                               , groq        , fastest         , 0.10      , 0.50       , 131072 , 0.14      , 809            , Yes  , No
openai/gpt-oss-20b                               , hyperbolic  , cheapest        , 0.10      , 0.10       , 131072 , 0.65      , 123            , Yes  , No
openai/gpt-oss-20b                               , novita      ,                 , 0.04      , 0.15       , 131072 , 0.37      , 187            , No   , Yes
openai/gpt-oss-20b                               , nscale      ,                 , 0.05      , 0.20       , 131072 , 0.72      , 110            , Yes  , Yes
openai/gpt-oss-20b                               , ovhcloud    ,                 , 0.05      , 0.18       , 131072 , 0.34      , 101            , Yes  , Yes
openai/gpt-oss-20b                               , together    ,                 , 0.05      , 0.20       , 131072 , 0.25      , 234            , Yes  , Yes
openai/gpt-oss-safeguard-20b                     , groq        ,                 , -         , -          , 131072 , 0.13      , 858            , Yes  , No
swiss-ai/Apertus-70B-Instruct-2509               , publicai    ,                 , 0.82      , 2.92       , -      , 1.98      , 55             , No   , Yes
swiss-ai/Apertus-8B-Instruct-2509                , publicai    ,                 , 0.10      , 0.20       , -      , 1.81      , 93             , No   , Yes
tokyotech-llm/Llama-3.3-Swallow-70B-Instruct-v0.4, sambanova   ,                 , 0.60      , 1.20       , 131072 , 2.19      , 142            , No   , Yes
utter-project/EuroLLM-22B-Instruct-2512          , publicai    ,                 , 0.10      , 0.20       , -      , -         , -              , No   , No
zai-org/AutoGLM-Phone-9B-Multilingual            , novita      ,                 , 0.04      , 0.14       , 65536  , 0.57      , 67             , No   , No
zai-org/GLM-4-32B-0414                           , novita      ,                 , 0.55      , 1.66       , 32000  , 0.60      , 40             , No   , No
zai-org/GLM-4.5                                  , fireworks-ai,                 , -         , -          , -      , -         , -              , -    , -
zai-org/GLM-4.5                                  , novita      ,                 , 0.60      , 2.20       , 131072 , 1.55      , 52             , Yes  , No
zai-org/GLM-4.5                                  , zai-org     ,                 , -         , -          , -      , -         , -              , -    , -
zai-org/GLM-4.5-Air                              , fireworks-ai,                 , -         , -          , -      , -         , -              , -    , -
zai-org/GLM-4.5-Air                              , novita      , cheapest        , 0.13      , 0.85       , 131072 , 0.81      , 60             , Yes  , No
zai-org/GLM-4.5-Air                              , zai-org     , fastest         , -         , -          , -      , 1.98      , 68             , Yes  , No
zai-org/GLM-4.5-Air-FP8                          , together    ,                 , 0.20      , 1.10       , 131072 , 0.89      , 10             , No   , Yes
zai-org/GLM-4.5V                                 , novita      , cheapest        , 0.60      , 1.80       , 65536  , 0.59      , 58             , Yes  , No
zai-org/GLM-4.5V                                 , zai-org     , fastest         , -         , -          , -      , 2.04      , 64             , Yes  , No
zai-org/GLM-4.5V-FP8                             , zai-org     ,                 , -         , -          , -      , 2.28      , 51             , Yes  , No
zai-org/GLM-4.6                                  , cerebras    ,                 , -         , -          , -      , -         , -              , -    , -
zai-org/GLM-4.6                                  , novita      , cheapest        , 0.55      , 2.20       , 204800 , 1.90      , 36             , Yes  , No
zai-org/GLM-4.6                                  , zai-org     , fastest         , -         , -          , -      , 2.45      , 54             , Yes  , No
zai-org/GLM-4.6-FP8                              , zai-org     ,                 , -         , -          , -      , 2.85      , 44             , Yes  , No
zai-org/GLM-4.6V                                 , novita      ,                 , -         , -          , -      , -         , -              , -    , -
zai-org/GLM-4.6V                                 , zai-org     ,                 , -         , -          , -      , 2.07      , 69             , Yes  , No
zai-org/GLM-4.6V-FP8                             , zai-org     ,                 , -         , -          , -      , 2.15      , 62             , Yes  , No
zai-org/GLM-4.6V-Flash                           , novita      , cheapest        , 0.30      , 0.90       , 131072 , 0.60      , 67             , Yes  , No
zai-org/GLM-4.6V-Flash                           , zai-org     , fastest         , -         , -          , -      , 1.12      , 107            , Yes  , No
zai-org/GLM-4.7                                  , cerebras    , fastest         , -         , -          , -      , 0.32      , 289            , Yes  , No
zai-org/GLM-4.7                                  , novita      , cheapest        , 0.60      , 2.20       , 204800 , 1.74      , 81             , Yes  , Yes
zai-org/GLM-4.7                                  , zai-org     ,                 , -         , -          , -      , 1.68      , 79             , Yes  , No
zai-org/GLM-4.7-FP8                              , zai-org     ,                 , -         , -          , -      , 2.02      , 57             , Yes  , No
zai-org/GLM-4.7-Flash                            , novita      , cheapest fastest, 0.07      , 0.40       , 200000 , 0.65      , 64             , Yes  , No
zai-org/GLM-4.7-Flash                            , zai-org     ,                 , -         , -          , -      , 2.51      , 46             , Yes  , No
